1000,0,237
1500,0,316
2000,0,488
2500,0,700
3000,0,923
3500,0,821
4000,0,1349
4500,0,1905
5000,0,1068
5500,0,2062
6000,0,2555
6500,0,3135
7000,0,3413
7500,0,3466
8000,0,2220
8500,0,1702
9000,0,2565
9500,0,5947
10000,0,6806
10500,0,8448
11000,0,5157
11500,0,9159
12000,0,3803
12500,0,10381
13000,0,11084
13500,0,10748
14000,0,13926
14500,0,4240
15000,0,16778
1000,1,236
1500,1,384
2000,1,608
2500,1,744
3000,1,1009
3500,1,1263
4000,1,1400
4500,1,1887
5000,1,2193
5500,1,2658
6000,1,3983
6500,1,3833
7000,1,4369
7500,1,5544
8000,1,5448
8500,1,6274
9000,1,6814
9500,1,7645
10000,1,8712
10500,1,8997
11000,1,9868
11500,1,10899
12000,1,11904
12500,1,12783
13000,1,13635
13500,1,21851
14000,1,15901
14500,1,16850
15000,1,18065
1000,2,219
1500,2,348
2000,2,487
2500,2,682
3000,2,926
3500,2,1225
4000,2,1361
4500,2,1646
5000,2,1951
5500,2,2286
6000,2,2680
6500,2,3072
7000,2,3457
7500,2,3910
8000,2,4380
8500,2,5032
9000,2,5741
9500,2,6172
10000,2,6699
10500,2,7474
11000,2,8072
11500,2,8751
12000,2,10102
12500,2,10796
13000,2,11086
13500,2,11762
14000,2,12558
14500,2,13310
15000,2,14223
1000,10,223
1500,10,348
2000,10,471
2500,10,637
3000,10,793
3500,10,964
4000,10,1166
4500,10,1436
5000,10,1673
5500,10,1939
6000,10,2241
6500,10,2554
7000,10,2892
7500,10,3411
8000,10,3624
8500,10,4264
9000,10,4680
9500,10,5183
10000,10,5806
10500,10,6484
11000,10,6557
11500,10,7244
12000,10,7734
12500,10,8275
13000,10,15915
13500,10,9702
14000,10,10382
14500,10,11048
15000,10,11592
1000,100,226
1500,100,349
2000,100,468
2500,100,633
3000,100,791
3500,100,955
4000,100,1137
4500,100,1408
5000,100,1731
5500,100,1924
6000,100,2268
6500,100,2464
7000,100,2811
7500,100,3154
8000,100,3690
8500,100,4037
9000,100,4700
9500,100,4943
10000,100,5413
10500,100,5941
11000,100,6313
11500,100,7018
12000,100,7387
12500,100,8031
13000,100,8838
13500,100,9380
14000,100,9792
14500,100,10684
15000,100,11121
1000,1000,236
1500,1000,403
2000,1000,491
2500,1000,665
3000,1000,819
3500,1000,987
4000,1000,1168
4500,1000,1448
5000,1000,1701
5500,1000,2330
6000,1000,2205
6500,1000,2776
7000,1000,2827
7500,1000,3260
8000,1000,3690
8500,1000,4277
9000,1000,4520
9500,1000,5026
10000,1000,5463
10500,1000,5929
11000,1000,6586
11500,1000,6917
12000,1000,8122
12500,1000,8011
13000,1000,8653
13500,1000,9122
14000,1000,9851
14500,1000,10533
15000,1000,11294
1000,2000,233
1500,2000,365
2000,2000,491
2500,2000,662
3000,2000,812
3500,2000,1084
4000,2000,1186
4500,2000,1558
5000,2000,1681
5500,2000,1930
6000,2000,2291
6500,2000,2505
7000,2000,2855
7500,2000,3309
8000,2000,3556
8500,2000,4067
9000,2000,4479
9500,2000,5110
10000,2000,5389
10500,2000,6168
11000,2000,6573
11500,2000,6907
12000,2000,7445
12500,2000,8021
13000,2000,8739
13500,2000,9543
14000,2000,16663
14500,2000,10619
15000,2000,11213
1000,0,217
1500,0,290
2000,0,445
2500,0,655
3000,0,811
3500,0,768
4000,0,1144
4500,0,1721
5000,0,1007
5500,0,1974
6000,0,2501
6500,0,3109
7000,0,3392
7500,0,3494
8000,0,2188
8500,0,1885
9000,0,2492
9500,0,6007
10000,0,6785
10500,0,8392
11000,0,5080
11500,0,9023
12000,0,3891
12500,0,10236
13000,0,11199
13500,0,10303
14000,0,13886
14500,0,4276
15000,0,16820
1000,1,263
1500,1,384
2000,1,552
2500,1,745
3000,1,942
3500,1,1175
4000,1,1401
4500,1,1930
5000,1,2337
5500,1,2653
6000,1,3230
6500,1,3668
7000,1,4290
7500,1,4850
8000,1,5436
8500,1,6114
9000,1,6795
9500,1,7586
10000,1,8489
10500,1,9331
11000,1,10210
11500,1,11416
12000,1,11759
12500,1,12700
13000,1,13858
13500,1,14846
14000,1,15933
14500,1,16946
15000,1,18086
1000,2,221
1500,2,443
2000,2,474
2500,2,743
3000,2,845
3500,2,1076
4000,2,1283
4500,2,1693
5000,2,1953
5500,2,2281
6000,2,2679
6500,2,3894
7000,2,3471
7500,2,4002
8000,2,4376
8500,2,5051
9000,2,5656
9500,2,6758
10000,2,6744
10500,2,7387
11000,2,8272
11500,2,8977
12000,2,13050
12500,2,10168
13000,2,11001
13500,2,11680
14000,2,12946
14500,2,13336
15000,2,14149
1000,10,263
1500,10,338
2000,10,453
2500,10,667
3000,10,790
3500,10,961
4000,10,1325
4500,10,1450
5000,10,1677
5500,10,1948
6000,10,2257
6500,10,2707
7000,10,2988
7500,10,3354
8000,10,4224
8500,10,4155
9000,10,4958
9500,10,5340
10000,10,5547
10500,10,6181
11000,10,6576
11500,10,7107
12000,10,7781
12500,10,8249
13000,10,8964
13500,10,9704
14000,10,10198
14500,10,10878
15000,10,11686
1000,100,226
1500,100,358
2000,100,468
2500,100,753
3000,100,784
3500,100,1015
4000,100,1142
4500,100,1474
5000,100,1635
5500,100,2029
6000,100,2177
6500,100,2459
7000,100,2931
7500,100,3180
8000,100,3692
8500,100,4024
9000,100,4494
9500,100,4869
10000,100,5322
10500,100,5964
11000,100,6326
11500,100,6895
12000,100,7426
12500,100,8219
13000,100,8726
13500,100,9897
14000,100,9671
14500,100,10683
15000,100,11047
1000,1000,227
1500,1000,358
2000,1000,475
2500,1000,667
3000,1000,858
3500,1000,987
4000,1000,1168
4500,1000,1459
5000,1000,1781
5500,1000,1985
6000,1000,2254
6500,1000,2705
7000,1000,2881
7500,1000,3227
8000,1000,3579
8500,1000,4139
9000,1000,4476
9500,1000,5035
10000,1000,5497
10500,1000,5944
11000,1000,6428
11500,1000,6928
12000,1000,7789
12500,1000,8062
13000,1000,8709
13500,1000,9369
14000,1000,9719
14500,1000,10284
15000,1000,11429
1000,2000,228
1500,2000,353
2000,2000,476
2500,2000,658
3000,2000,834
3500,2000,985
4000,2000,1291
4500,2000,1456
5000,2000,1690
5500,2000,1954
6000,2000,2312
6500,2000,2551
7000,2000,2873
7500,2000,3176
8000,2000,3614
8500,2000,4111
9000,2000,4567
9500,2000,5085
10000,2000,5385
10500,2000,6158
11000,2000,6467
11500,2000,6871
12000,2000,7520
12500,2000,7935
13000,2000,8692
13500,2000,9168
14000,2000,10191
14500,2000,10809
15000,2000,11775
1000,0,215
1500,0,376
2000,0,443
2500,0,655
3000,0,813
3500,0,773
4000,0,1134
4500,0,1721
5000,0,999
5500,0,2069
6000,0,2465
6500,0,3104
7000,0,3448
7500,0,3444
8000,0,2168
8500,0,1698
9000,0,2546
9500,0,6134
10000,0,6871
10500,0,8408
11000,0,5114
11500,0,9210
12000,0,3988
12500,0,10231
13000,0,11245
13500,0,10661
14000,0,13565
14500,0,4282
15000,0,16487
1000,1,236
1500,1,387
2000,1,538
2500,1,755
3000,1,1072
3500,1,1155
4000,1,1395
4500,1,1769
5000,1,2385
5500,1,2885
6000,1,3311
6500,1,3575
7000,1,4143
7500,1,4743
8000,1,5455
8500,1,6107
9000,1,6901
9500,1,7517
10000,1,8223
10500,1,9324
11000,1,10118
11500,1,10939
12000,1,11935
12500,1,13006
13000,1,13829
13500,1,14647
14000,1,15763
14500,1,17765
15000,1,17879
1000,2,220
1500,2,400
2000,2,474
2500,2,725
3000,2,865
3500,2,1098
4000,2,1286
4500,2,1621
5000,2,1952
5500,2,2437
6000,2,2820
6500,2,3268
7000,2,3592
7500,2,3979
8000,2,4450
8500,2,5386
9000,2,5599
9500,2,6139
10000,2,6767
10500,2,7334
11000,2,8092
11500,2,12199
12000,2,9749
12500,2,10161
13000,2,10831
13500,2,11870
14000,2,12387
14500,2,13256
15000,2,14082
1000,10,215
1500,10,336
2000,10,625
2500,10,643
3000,10,832
3500,10,960
4000,10,1162
4500,10,1523
5000,10,1762
5500,10,2007
6000,10,2240
6500,10,2559
7000,10,2885
7500,10,3231
8000,10,3688
8500,10,4499
9000,10,4707
9500,10,5278
10000,10,6915
10500,10,6139
11000,10,6637
11500,10,7131
12000,10,7617
12500,10,8521
13000,10,8781
13500,10,9505
14000,10,10160
14500,10,11245
15000,10,11576
1000,100,250
1500,100,350
2000,100,466
2500,100,633
3000,100,789
3500,100,952
4000,100,1136
4500,100,1470
5000,100,1634
5500,100,1885
6000,100,2161
6500,100,2467
7000,100,2953
7500,100,3337
8000,100,3505
8500,100,4026
9000,100,4441
9500,100,4913
10000,100,5339
10500,100,5843
11000,100,6297
11500,100,6861
12000,100,7354
12500,100,7970
13000,100,8701
13500,100,9095
14000,100,10710
14500,100,10376
15000,100,11131
1000,1000,233
1500,1000,361
2000,1000,488
2500,1000,659
3000,1000,810
3500,1000,982
4000,1000,1180
4500,1000,1435
5000,1000,1672
5500,1000,1919
6000,1000,2280
6500,1000,2504
7000,1000,2827
7500,1000,3183
8000,1000,3595
8500,1000,4075
9000,1000,4434
9500,1000,4999
10000,1000,5377
10500,1000,5933
11000,1000,6466
11500,1000,6869
12000,1000,7534
12500,1000,7937
13000,1000,8734
13500,1000,9230
14000,1000,9887
14500,1000,10523
15000,1000,11063
1000,2000,233
1500,2000,364
2000,2000,488
2500,2000,657
3000,2000,811
3500,2000,1004
4000,2000,1175
4500,2000,1451
5000,2000,1674
5500,2000,2023
6000,2000,2206
6500,2000,2502
7000,2000,2874
7500,2000,3245
8000,2000,3556
8500,2000,4088
9000,2000,4673
9500,2000,4887
10000,2000,5442
10500,2000,5859
11000,2000,6395
11500,2000,6768
12000,2000,7505
12500,2000,7964
13000,2000,8692
13500,2000,9169
14000,2000,9749
14500,2000,10651
15000,2000,11204
1000,0,221
1500,0,296
2000,0,471
2500,0,653
3000,0,872
3500,0,764
4000,0,1183
4500,0,1722
5000,0,1000
5500,0,1977
6000,0,2477
6500,0,3093
7000,0,3418
7500,0,3386
8000,0,2156
8500,0,1688
9000,0,2628
9500,0,5750
10000,0,6879
10500,0,8460
11000,0,5001
11500,0,9149
12000,0,3763
12500,0,10942
13000,0,10962
13500,0,10441
14000,0,13454
14500,0,4234
15000,0,17271
1000,1,240
1500,1,386
2000,1,555
2500,1,751
3000,1,944
3500,1,1197
4000,1,1414
4500,1,1792
5000,1,2190
5500,1,2721
6000,1,3284
6500,1,3847
7000,1,4243
7500,1,4807
8000,1,5222
8500,1,6342
9000,1,6855
9500,1,7454
10000,1,8577
10500,1,9284
11000,1,9899
11500,1,10774
12000,1,11928
12500,1,12455
13000,1,13709
13500,1,14952
14000,1,15129
14500,1,16482
15000,1,17750
1000,2,220
1500,2,347
2000,2,541
2500,2,661
3000,2,836
3500,2,1097
4000,2,1317
4500,2,1622
5000,2,1941
5500,2,3209
6000,2,2788
6500,2,3084
7000,2,3633
7500,2,3965
8000,2,4488
8500,2,5082
9000,2,5567
9500,2,6206
10000,2,7034
10500,2,7716
11000,2,8032
11500,2,8742
12000,2,9478
12500,2,10071
13000,2,10890
13500,2,11714
14000,2,12646
14500,2,13343
15000,2,14206
1000,10,222
1500,10,348
2000,10,511
2500,10,615
3000,10,766
3500,10,933
4000,10,1212
4500,10,1462
5000,10,1677
5500,10,2267
6000,10,2231
6500,10,2538
7000,10,2893
7500,10,3230
8000,10,3926
8500,10,4142
9000,10,4685
9500,10,5010
10000,10,5556
10500,10,6083
11000,10,6696
11500,10,7084
12000,10,7781
12500,10,8235
13000,10,8926
13500,10,9446
14000,10,10305
14500,10,10976
15000,10,11595
1000,100,226
1500,100,340
2000,100,455
2500,100,792
3000,100,788
3500,100,951
4000,100,1136
4500,100,1437
5000,100,1634
5500,100,1900
6000,100,2161
6500,100,2475
7000,100,2792
7500,100,3261
8000,100,3508
8500,100,4140
9000,100,4454
9500,100,4825
10000,100,5265
10500,100,5817
11000,100,6391
11500,100,6878
12000,100,8409
12500,100,9246
13000,100,8620
13500,100,9315
14000,100,9744
14500,100,10458
15000,100,12122
1000,1000,228
1500,1000,357
2000,1000,475
2500,1000,638
3000,1000,784
3500,1000,1029
4000,1000,1132
4500,1000,1481
5000,1000,1793
