1000,0,258
1500,0,334
2000,0,496
2500,0,707
3000,0,882
3500,0,828
4000,0,1223
4500,0,1835
5000,0,1188
5500,0,2145
6000,0,2588
6500,0,3300
7000,0,3932
7500,0,3475
8000,0,2267
8500,0,1743
9000,0,2520
9500,0,5892
10000,0,6891
10500,0,8978
11000,0,5249
11500,0,9289
12000,0,4013
12500,0,17056
13000,0,11052
13500,0,10296
14000,0,13479
14500,0,4302
15000,0,17911
1000,1,272
1500,1,389
2000,1,547
2500,1,756
3000,1,995
3500,1,1180
4000,1,1410
4500,1,1787
5000,1,2262
5500,1,2689
6000,1,3143
6500,1,3730
7000,1,4128
7500,1,4952
8000,1,5485
8500,1,6503
9000,1,6994
9500,1,7542
10000,1,8920
10500,1,9558
11000,1,10340
11500,1,11770
12000,1,11792
12500,1,13030
13000,1,13622
13500,1,14747
14000,1,15241
14500,1,17043
15000,1,17613
1000,2,222
1500,2,406
2000,2,494
2500,2,693
3000,2,898
3500,2,1081
4000,2,1300
4500,2,1633
5000,2,1959
5500,2,2330
6000,2,2673
6500,2,3065
7000,2,3614
7500,2,3932
8000,2,4478
8500,2,5065
9000,2,5931
9500,2,6142
10000,2,6981
10500,2,10442
11000,2,8217
11500,2,8787
12000,2,9446
12500,2,10308
13000,2,10902
13500,2,12295
14000,2,12626
14500,2,13273
15000,2,14163
1000,10,221
1500,10,343
2000,10,499
2500,10,633
3000,10,821
3500,10,977
4000,10,1170
4500,10,1514
5000,10,1689
5500,10,1956
6000,10,2252
6500,10,3166
7000,10,2906
7500,10,4383
8000,10,3651
8500,10,4589
9000,10,4644
9500,10,5260
10000,10,5544
10500,10,6075
11000,10,6629
11500,10,7199
12000,10,7670
12500,10,8441
13000,10,10344
13500,10,9830
14000,10,10260
14500,10,10898
15000,10,11251
1000,100,225
1500,100,352
2000,100,523
2500,100,641
3000,100,799
3500,100,967
4000,100,1153
4500,100,1432
5000,100,1967
5500,100,1920
6000,100,2268
6500,100,2566
7000,100,2816
7500,100,3219
8000,100,3648
8500,100,4049
9000,100,4555
9500,100,4968
10000,100,5421
10500,100,5943
11000,100,6483
11500,100,11113
12000,100,7410
12500,100,7991
13000,100,8615
13500,100,9212
14000,100,9806
14500,100,10251
15000,100,11255
1000,1000,232
1500,1000,456
2000,1000,506
2500,1000,672
3000,1000,820
3500,1000,1044
4000,1000,1188
4500,1000,1456
5000,1000,1736
5500,1000,1947
6000,1000,2236
6500,1000,2535
7000,1000,3007
7500,1000,3261
8000,1000,3574
8500,1000,4120
9000,1000,4504
9500,1000,5041
10000,1000,5489
10500,1000,5925
11000,1000,6453
11500,1000,6955
12000,1000,8643
12500,1000,8179
13000,1000,8585
13500,1000,9284
14000,1000,9931
14500,1000,10974
15000,1000,11680
1000,2000,236
1500,2000,371
