Size,Seconds,Real,User,Sys
1000000	0.294506	0.60	0.58	0.01
1000	0.000282	0.00	0.00	0.00
100000	0.041404	0.10	0.09	0.00
4999996	1.450032	2.96	2.89	0.02
3999997	1.152485	2.35	2.30	0.02
2999998	0.889164	1.82	1.75	0.02
10000	0.002934	0.01	0.01	0.00
9999991	3.006576	6.00	5.82	0.06
1999999	0.608619	1.27	1.19	0.02
1000000	0.340279	0.64	0.59	0.00
1000	0.000287	0.00	0.00	0.00
100000	0.031264	0.09	0.08	0.00
4999996	1.438524	2.93	2.87	0.02
3999997	1.170568	2.39	2.31	0.02
2999998	0.902440	1.85	1.77	0.02
10000	0.003010	0.01	0.01	0.00
9999991	3.025902	6.05	5.87	0.06
1999999	0.587805	1.19	1.15	0.01
1000000	0.303857	0.61	0.58	0.00
1000	0.000287	0.00	0.00	0.00
100000	0.031112	0.09	0.08	0.00
4999996	1.613483	3.13	2.98	0.05
3999997	1.491418	2.73	2.64	0.03
2999998	0.876607	1.82	1.77	0.02
10000	0.002992	0.01	0.01	0.00
9999991	3.063510	6.19	5.90	0.06
1999999	0.587067	1.18	1.15	0.01
1000000	0.286560	0.61	0.59	0.01
1000	0.000312	0.00	0.00	0.00
100000	0.032713	0.10	0.09	0.00
4999996	1.514894	3.04	2.93	0.03
3999997	1.234380	2.67	2.58	0.03
2999998	1.103808	2.08	1.98	0.02
10000	0.004323	0.01	0.01	0.00
9999991	3.245494	6.67	6.44	0.07
1999999	0.624061	1.28	1.25	0.01
1000000	0.308568	0.66	0.63	0.00
1000	0.000405	0.00	0.00	0.00
100000	0.034700	0.10	0.09	0.00
4999996	1.535707	3.14	2.99	0.03
3999997	1.195829	2.41	2.34	0.02
2999998	0.872125	1.84	1.78	0.02
10000	0.003048	0.01	0.01	0.00
9999991	2.944538	5.94	5.81	0.05
1999999	0.589905	1.19	1.15	0.01
1000000	0.292232	0.59	0.58	0.00
1000	0.000280	0.00	0.00	0.00
100000	0.031317	0.09	0.08	0.00
4999996	1.501094	3.09	2.95	0.04
3999997	1.171773	2.37	2.32	0.02
2999998	0.927037	1.82	1.77	0.02
10000	0.002946	0.01	0.00	0.00
9999991	3.000238	6.04	5.88	0.06
1999999	0.585037	1.19	1.15	0.01
1000000	0.297202	0.62	0.58	0.01
1000	0.000287	0.00	0.00	0.00
100000	0.032338	0.09	0.08	0.00
4999996	1.499563	3.03	2.94	0.03
3999997	1.231646	2.42	2.36	0.02
2999998	0.870792	1.77	1.73	0.01
10000	0.002967	0.01	0.00	0.00
9999991	2.991361	5.98	5.83	0.05
1999999	0.577173	1.18	1.15	0.01
1000000	0.298619	0.60	0.57	0.00
1000	0.000291	0.00	0.00	0.00
100000	0.031491	0.09	0.08	0.00
4999996	1.461456	3.03	2.93	0.03
3999997	1.188801	2.40	2.31	0.02
2999998	0.931877	1.82	1.75	0.02
10000	0.003076	0.01	0.01	0.00
9999991	2.925379	5.90	5.79	0.05
1999999	0.574910	1.17	1.15	0.01
1000000	0.289433	0.60	0.58	0.00
1000	0.000281	0.00	0.00	0.00
100000	0.040529	0.10	0.09	0.00
4999996	1.456642	3.05	2.91	0.03
3999997	1.158912	2.37	2.31	0.02
2999998	0.929694	1.84	1.75	0.02
10000	0.005211	0.02	0.01	0.00
9999991	2.923845	5.92	5.79	0.05
1999999	0.622487	1.22	1.17	0.01
1000000	0.295565	0.60	0.57	0.00
1000	0.000289	0.00	0.00	0.00
100000	0.034045	0.09	0.09	0.00
4999996	1.455154	2.99	2.92	0.03
3999997	1.159251	2.38	2.32	0.02
2999998	0.870797	1.76	1.73	0.02
10000	0.003105	0.01	0.01	0.00
9999991	2.892589	5.89	5.77	0.05
1999999	0.584478	1.18	1.15	0.01
1000000	0.290591	0.60	0.58	0.00
1000	0.000289	0.00	0.00	0.00
100000	0.031225	0.09	0.08	0.00
4999996	1.460149	3.00	2.92	0.03
3999997	1.159738	2.44	2.36	0.02
2999998	0.867278	1.82	1.75	0.02
10000	0.003138	0.01	0.00	0.00
9999991	2.927417	5.90	5.78	0.05
1999999	0.581362	1.19	1.15	0.01
1000000	0.283156	0.60	0.58	0.01
1000	0.000286	0.00	0.00	0.00
100000	0.034065	0.09	0.08	0.00
4999996	1.446234	2.97	2.90	0.03
3999997	1.171312	2.41	2.33	0.02
2999998	0.861570	1.76	1.73	0.01
10000	0.004908	0.03	0.01	0.00
9999991	3.009988	6.01	5.81	0.05
1999999	0.588415	1.18	1.15	0.01
1000000	0.296751	0.60	0.58	0.00
1000	0.000682	0.00	0.00	0.00
100000	0.031269	0.09	0.08	0.00
4999996	1.529298	3.03	2.93	0.03
3999997	1.168995	2.38	2.31	0.02
2999998	0.870011	1.76	1.72	0.01
10000	0.003093	0.01	0.01	0.00
9999991	2.925716	5.90	5.78	0.05
1999999	0.584740	1.18	1.15	0.01
1000000	0.338602	0.65	0.63	0.01
1000	0.000290	0.00	0.00	0.00
100000	0.032854	0.10	0.09	0.00
4999996	1.438856	2.95	2.89	0.03
3999997	1.145511	2.35	2.29	0.02
2999998	0.870741	1.82	1.76	0.02
10000	0.003025	0.01	0.01	0.00
9999991	2.935242	5.96	5.80	0.05
1999999	0.581744	1.17	1.15	0.01
